YEAR,MONTH,DATE,SITE,TRANSECT,QUAD,SIDE,SUBSTRATE_TYPE,PERCENT_COVER
2001,8,2001-08-09,NAPL,1,20,O,B,100
2001,8,2001-08-09,NAPL,1,40,I,B,95
2001,8,2001-08-09,NAPL,1,40,O,B,100
2001,8,2001-08-09,NAPL,2,20,I,B,95
2001,8,2001-08-09,NAPL,2,20,O,B,95
2001,8,2001-08-09,NAPL,2,40,I,B,100
2001,8,2001-08-09,NAPL,2,40,O,B,100
2001,8,2001-08-09,NAPL,3,20,I,B,100
2001,8,2001-08-09,NAPL,3,20,O,B,100
2001,8,2001-08-09,NAPL,3,40,I,B,95
2001,8,2001-08-09,NAPL,3,40,O,B,100
2001,8,2001-08-09,NAPL,4,20,I,B,0
2001,8,2001-08-09,NAPL,4,20,O,B,0
2001,8,2001-08-09,NAPL,4,40,I,B,0
2001,8,2001-08-09,NAPL,4,40,O,B,0
2001,8,2001-08-14,GOLB,1,20,I,B,10
2001,8,2001-08-14,GOLB,1,20,O,B,15
2001,8,2001-08-14,GOLB,1,40,I,B,20
2001,8,2001-08-14,GOLB,1,40,O,B,25
2001,8,2001-08-14,GOLB,2,20,I,B,5
2001,8,2001-08-14,GOLB,2,20,O,B,10
2001,8,2001-08-14,GOLB,2,40,I,B,50
2001,8,2001-08-14,GOLB,2,40,O,B,60
2001,8,2001-08-14,IVEE,1,20,I,B,30
2001,8,2001-08-14,IVEE,1,20,O,B,20
2001,8,2001-08-14,IVEE,1,40,I,B,25
2001,8,2001-08-14,IVEE,1,40,O,B,30
2001,8,2001-08-14,IVEE,2,20,I,B,65
2001,8,2001-08-14,IVEE,2,20,O,B,80
2001,8,2001-08-14,IVEE,2,40,I,B,80
2001,8,2001-08-14,IVEE,2,40,O,B,100
2001,8,2001-08-15,CARP,1,20,I,B,100
2001,8,2001-08-15,CARP,1,20,O,B,100
2001,8,2001-08-15,CARP,1,40,I,B,100
2001,8,2001-08-15,CARP,1,40,O,B,100
2001,8,2001-08-15,CARP,2,20,I,B,85
2001,8,2001-08-15,CARP,2,20,O,B,95
2001,8,2001-08-15,CARP,2,40,I,B,50
2001,8,2001-08-15,CARP,2,40,O,B,70
2001,8,2001-08-15,CARP,5,20,I,B,90
2001,8,2001-08-15,CARP,5,20,O,B,60
2001,8,2001-08-15,CARP,5,40,I,B,80
2001,8,2001-08-15,CARP,5,40,O,B,80
2001,8,2001-08-15,CARP,7,20,I,B,100
2001,8,2001-08-15,CARP,7,20,O,B,75
2001,8,2001-08-15,CARP,7,40,I,B,70
2001,8,2001-08-15,CARP,7,40,O,B,75
2001,8,2001-08-15,CARP,8,20,I,B,80
2001,8,2001-08-15,CARP,8,20,O,B,80
2001,8,2001-08-15,CARP,8,40,I,B,85
2001,8,2001-08-15,CARP,8,40,O,B,60
2001,8,2001-08-16,NAPL,5,20,I,B,95
2001,8,2001-08-16,NAPL,5,20,O,B,90
2001,8,2001-08-16,NAPL,5,40,I,B,80
2001,8,2001-08-16,NAPL,5,40,O,B,85
2001,8,2001-08-16,NAPL,6,20,I,B,90
2001,8,2001-08-16,NAPL,6,20,O,B,100
2001,8,2001-08-16,NAPL,6,40,I,B,60
2001,8,2001-08-16,NAPL,6,40,O,B,85
2001,8,2001-08-16,NAPL,7,20,I,B,90
2001,8,2001-08-16,NAPL,7,20,O,B,95
2001,8,2001-08-16,NAPL,7,40,I,B,100
2001,8,2001-08-16,NAPL,7,40,O,B,85
2001,8,2001-08-16,NAPL,8,20,I,B,100
2001,8,2001-08-16,NAPL,8,20,O,B,100
2001,8,2001-08-16,NAPL,8,40,I,B,90
2001,8,2001-08-16,NAPL,8,40,O,B,95
2001,8,2001-08-17,BULL,1,20,I,B,80
2001,8,2001-08-17,BULL,1,20,O,B,65
2001,8,2001-08-17,BULL,1,40,I,B,55
2001,8,2001-08-17,BULL,1,40,O,B,60
2001,8,2001-08-17,BULL,6,20,I,B,60
2001,8,2001-08-17,BULL,6,20,O,B,40
2001,8,2001-08-17,BULL,6,40,I,B,80
2001,8,2001-08-17,BULL,6,40,O,B,85
2001,8,2001-08-21,AQUE,1,20,I,B,35
2001,8,2001-08-21,AQUE,1,20,O,B,35
2001,8,2001-08-21,AQUE,1,40,I,B,50
2001,8,2001-08-21,AQUE,1,40,O,B,25
2001,8,2001-08-21,AQUE,2,20,I,B,20
2001,8,2001-08-21,AQUE,2,20,O,B,45
2001,8,2001-08-21,AQUE,2,40,I,B,25
2001,8,2001-08-21,AQUE,2,40,O,B,50
2001,8,2001-08-21,AQUE,3,20,I,B,10
2001,8,2001-08-21,AQUE,3,20,O,B,15
2001,8,2001-08-21,AQUE,3,40,I,B,10
2001,8,2001-08-21,AQUE,3,40,O,B,15
2001,8,2001-08-21,AQUE,4,20,I,B,35
2001,8,2001-08-21,AQUE,4,20,O,B,45
2001,8,2001-08-21,AQUE,4,40,I,B,65
2001,8,2001-08-21,AQUE,4,40,O,B,55
2001,8,2001-08-21,AQUE,5,20,I,B,50
2001,8,2001-08-21,AQUE,5,20,O,B,55
2001,8,2001-08-21,AQUE,5,40,I,B,35
2001,8,2001-08-21,AQUE,5,40,O,B,30
2001,8,2001-08-22,ABUR,1,20,I,B,25
2001,8,2001-08-22,ABUR,1,20,O,B,45
2001,8,2001-08-22,ABUR,1,40,I,B,30
2001,8,2001-08-22,ABUR,1,40,O,B,25
2001,8,2001-08-22,ABUR,2,20,I,B,50
2001,8,2001-08-22,ABUR,2,20,O,B,30
2001,8,2001-08-22,ABUR,2,40,I,B,40
2001,8,2001-08-22,ABUR,2,40,O,B,30
2001,8,2001-08-27,AHND,1,20,I,B,0
2001,8,2001-08-27,AHND,1,20,O,B,0
2001,8,2001-08-27,AHND,1,40,I,B,0
2001,8,2001-08-27,AHND,1,40,O,B,0
2001,8,2001-08-27,AHND,2,20,I,B,0
2001,8,2001-08-27,AHND,2,20,O,B,5
2001,8,2001-08-27,AHND,2,40,I,B,0
2001,8,2001-08-27,AHND,2,40,O,B,0
2001,8,2001-08-29,BULL,3,20,I,B,75
2001,8,2001-08-29,BULL,3,20,O,B,90
2001,8,2001-08-29,BULL,3,40,I,B,75
2001,8,2001-08-29,BULL,3,40,O,B,55
2002,8,2002-08-13,GOLB,1,20,I,B,45
2002,8,2002-08-13,GOLB,1,20,O,B,25
2002,8,2002-08-13,GOLB,1,40,I,B,25
2002,8,2002-08-13,GOLB,1,40,O,B,20
2002,8,2002-08-13,GOLB,2,20,I,B,20
2002,8,2002-08-13,GOLB,2,20,O,B,10
2002,8,2002-08-13,GOLB,2,40,I,B,40
2002,8,2002-08-13,GOLB,2,40,O,B,95
2002,8,2002-08-13,IVEE,1,20,I,B,25
2002,8,2002-08-13,IVEE,1,20,O,B,20
2002,8,2002-08-13,IVEE,1,40,I,B,55
2002,8,2002-08-13,IVEE,1,40,O,B,40
2002,8,2002-08-13,IVEE,2,20,I,B,70
2002,8,2002-08-13,IVEE,2,20,O,B,95
2002,8,2002-08-13,IVEE,2,40,I,B,65
2002,8,2002-08-13,IVEE,2,40,O,B,70
2002,8,2002-08-14,NAPL,3,20,I,B,100
2002,8,2002-08-14,NAPL,3,20,O,B,100
2002,8,2002-08-14,NAPL,3,40,I,B,100
2002,8,2002-08-14,NAPL,3,40,O,B,100
2002,8,2002-08-14,NAPL,4,20,I,B,15
2002,8,2002-08-14,NAPL,4,20,O,B,5
2002,8,2002-08-14,NAPL,4,40,I,B,0
2002,8,2002-08-14,NAPL,4,40,O,B,0
2002,8,2002-08-14,NAPL,5,20,I,B,95
2002,8,2002-08-14,NAPL,5,20,O,B,90
2002,8,2002-08-14,NAPL,5,40,I,B,90
2002,8,2002-08-14,NAPL,5,40,O,B,85
2002,8,2002-08-14,NAPL,6,20,I,B,95
2002,8,2002-08-14,NAPL,6,20,O,B,100
2002,8,2002-08-14,NAPL,6,40,I,B,80
2002,8,2002-08-14,NAPL,6,40,O,B,85
2002,8,2002-08-15,NAPL,1,20,I,B,95
2002,8,2002-08-15,NAPL,1,20,O,B,70
2002,8,2002-08-15,NAPL,1,40,I,B,80
2002,8,2002-08-15,NAPL,1,40,O,B,90
2002,8,2002-08-15,NAPL,2,20,I,B,70
2002,8,2002-08-15,NAPL,2,20,O,B,85
2002,8,2002-08-15,NAPL,2,40,I,B,80
2002,8,2002-08-15,NAPL,2,40,O,B,95
2002,8,2002-08-15,NAPL,7,20,I,B,100
2002,8,2002-08-15,NAPL,7,20,O,B,80
2002,8,2002-08-15,NAPL,7,40,I,B,100
2002,8,2002-08-15,NAPL,7,40,O,B,90
2002,8,2002-08-15,NAPL,8,20,I,B,85
2002,8,2002-08-15,NAPL,8,20,O,B,100
2002,8,2002-08-15,NAPL,8,40,I,B,70
2002,8,2002-08-15,NAPL,8,40,O,B,80
2002,8,2002-08-19,BULL,1,20,I,B,95
2002,8,2002-08-19,BULL,1,20,O,B,80
2002,8,2002-08-19,BULL,1,40,I,B,70
2002,8,2002-08-19,BULL,1,40,O,B,75
2002,8,2002-08-19,BULL,3,20,I,B,35
2002,8,2002-08-19,BULL,3,20,O,B,55
2002,8,2002-08-19,BULL,3,40,I,B,45
2002,8,2002-08-19,BULL,3,40,O,B,60
2002,8,2002-08-19,BULL,6,20,I,B,80
2002,8,2002-08-19,BULL,6,20,O,B,60
2002,8,2002-08-19,BULL,6,40,I,B,35
2002,8,2002-08-19,BULL,6,40,O,B,20
2002,8,2002-08-20,ABUR,1,20,I,B,5
2002,8,2002-08-20,ABUR,1,20,O,B,15
2002,8,2002-08-20,ABUR,1,40,I,B,5
2002,8,2002-08-20,ABUR,1,40,O,B,5
2002,8,2002-08-20,ABUR,2,20,I,B,5
2002,8,2002-08-20,ABUR,2,20,O,B,5
2002,8,2002-08-20,ABUR,2,40,I,B,0
2002,8,2002-08-20,ABUR,2,40,O,B,0
2002,8,2002-08-20,MOHK,1,20,I,B,100
2002,8,2002-08-20,MOHK,1,20,O,B,100
2002,8,2002-08-20,MOHK,1,40,I,B,100
2002,8,2002-08-20,MOHK,1,40,O,B,100
2002,8,2002-08-20,MOHK,2,20,I,B,80
2002,8,2002-08-20,MOHK,2,20,O,B,95
2002,8,2002-08-20,MOHK,2,40,I,B,55
2002,8,2002-08-20,MOHK,2,40,O,B,75
2002,8,2002-08-21,CARP,1,20,I,B,95
2002,8,2002-08-21,CARP,1,20,O,B,80
2002,8,2002-08-21,CARP,1,40,I,B,100
2002,8,2002-08-21,CARP,1,40,O,B,95
2002,8,2002-08-21,CARP,2,20,I,B,100
2002,8,2002-08-21,CARP,2,20,O,B,95
2002,8,2002-08-21,CARP,2,40,I,B,90
2002,8,2002-08-21,CARP,2,40,O,B,100
2002,8,2002-08-21,CARP,3,20,I,B,60
2002,8,2002-08-21,CARP,3,20,O,B,55
2002,8,2002-08-21,CARP,3,40,I,B,65
2002,8,2002-08-21,CARP,3,40,O,B,70
2002,8,2002-08-21,CARP,4,20,I,B,100
2002,8,2002-08-21,CARP,4,20,O,B,100
2002,8,2002-08-21,CARP,4,40,I,B,85
2002,8,2002-08-21,CARP,4,40,O,B,40
2002,8,2002-08-21,CARP,5,20,I,B,90
2002,8,2002-08-21,CARP,5,20,O,B,85
2002,8,2002-08-21,CARP,5,40,I,B,100
2002,8,2002-08-21,CARP,5,40,O,B,100
2002,8,2002-08-21,CARP,6,20,I,B,75
2002,8,2002-08-21,CARP,6,20,O,B,70
2002,8,2002-08-21,CARP,6,40,I,B,75
2002,8,2002-08-21,CARP,6,40,O,B,40
2002,8,2002-08-21,CARP,7,20,I,B,100
2002,8,2002-08-21,CARP,7,20,O,B,80
2002,8,2002-08-21,CARP,7,40,I,B,85
2002,8,2002-08-21,CARP,7,40,O,B,55
2002,8,2002-08-21,CARP,8,20,I,B,75
2002,8,2002-08-21,CARP,8,20,O,B,70
2002,8,2002-08-21,CARP,8,40,I,B,85
2002,8,2002-08-21,CARP,8,40,O,B,90
2002,8,2002-08-27,AQUE,1,20,I,B,85
2002,8,2002-08-27,AQUE,1,20,O,B,90
2002,8,2002-08-27,AQUE,1,40,I,B,80
2002,8,2002-08-27,AQUE,1,40,O,B,75
2002,8,2002-08-27,AQUE,2,20,I,B,55
2002,8,2002-08-27,AQUE,2,20,O,B,65
2002,8,2002-08-27,AQUE,2,40,I,B,20
2002,8,2002-08-27,AQUE,2,40,O,B,35
2002,8,2002-08-27,AQUE,3,20,I,B,20
2002,8,2002-08-27,AQUE,3,20,O,B,10
2002,8,2002-08-27,AQUE,3,40,I,B,15
2002,8,2002-08-27,AQUE,3,40,O,B,0
2002,8,2002-08-27,AQUE,6,20,I,B,55
2002,8,2002-08-27,AQUE,6,20,O,B,55
2002,8,2002-08-27,AQUE,6,40,I,B,55
2002,8,2002-08-27,AQUE,6,40,O,B,60
2002,8,2002-08-28,AHND,2,20,I,B,0
2002,8,2002-08-28,AHND,2,20,O,B,0
2002,8,2002-08-28,AHND,2,40,I,B,0
2002,8,2002-08-28,AHND,2,40,O,B,0
2002,8,2002-08-28,AQUE,4,20,I,B,55
2002,8,2002-08-28,AQUE,4,20,O,B,40
2002,8,2002-08-28,AQUE,4,40,I,B,55
2002,8,2002-08-28,AQUE,4,40,O,B,50
2002,8,2002-08-28,AQUE,5,20,I,B,100
2002,8,2002-08-28,AQUE,5,20,O,B,80
2002,8,2002-08-28,AQUE,5,40,I,B,75
2002,8,2002-08-28,AQUE,5,40,O,B,70
2002,9,2002-09-26,AHND,1,20,I,B,5
2002,9,2002-09-26,AHND,1,20,O,B,0
2002,9,2002-09-26,AHND,1,40,I,B,0
2002,9,2002-09-26,AHND,1,40,O,B,0
2003,8,2003-08-11,NAPL,1,20,I,B,100
2003,8,2003-08-11,NAPL,1,20,O,B,100
2003,8,2003-08-11,NAPL,1,40,I,B,95
2003,8,2003-08-11,NAPL,1,40,O,B,100
2003,8,2003-08-11,NAPL,2,20,I,B,100
2003,8,2003-08-11,NAPL,2,20,O,B,100
2003,8,2003-08-11,NAPL,2,40,I,B,100
2003,8,2003-08-11,NAPL,2,40,O,B,100
2003,8,2003-08-11,NAPL,3,20,I,B,100
2003,8,2003-08-11,NAPL,3,20,O,B,95
2003,8,2003-08-11,NAPL,3,40,I,B,100
2003,8,2003-08-11,NAPL,3,40,O,B,100
2003,8,2003-08-11,NAPL,4,20,I,B,5
2003,8,2003-08-11,NAPL,4,20,O,B,10
2003,8,2003-08-11,NAPL,4,40,I,B,5
2003,8,2003-08-11,NAPL,4,40,O,B,0
2003,8,2003-08-12,NAPL,5,20,I,B,95
2003,8,2003-08-12,NAPL,5,20,O,B,95
2003,8,2003-08-12,NAPL,5,40,I,B,30
2003,8,2003-08-12,NAPL,5,40,O,B,100
2003,8,2003-08-12,NAPL,6,20,I,B,95
2003,8,2003-08-12,NAPL,6,20,O,B,100
2003,8,2003-08-12,NAPL,6,40,I,B,80
2003,8,2003-08-12,NAPL,6,40,O,B,100
2003,8,2003-08-12,NAPL,7,20,I,B,85
2003,8,2003-08-12,NAPL,7,20,O,B,100
2003,8,2003-08-12,NAPL,7,40,I,B,100
2003,8,2003-08-12,NAPL,7,40,O,B,100
2003,8,2003-08-12,NAPL,8,20,I,B,100
2003,8,2003-08-12,NAPL,8,20,O,B,100
2003,8,2003-08-12,NAPL,8,40,I,B,90
2003,8,2003-08-12,NAPL,8,40,O,B,100
2003,8,2003-08-14,AHND,1,20,I,B,0
2003,8,2003-08-14,AHND,1,20,O,B,0
2003,8,2003-08-14,AHND,1,40,I,B,0
2003,8,2003-08-14,AHND,1,40,O,B,0
2003,8,2003-08-14,AHND,2,20,I,B,15
2003,8,2003-08-14,AHND,2,20,O,B,5
2003,8,2003-08-14,AHND,2,40,I,B,0
2003,8,2003-08-14,AHND,2,40,O,B,20
2003,8,2003-08-14,BULL,1,20,I,B,90
2003,8,2003-08-14,BULL,1,20,O,B,45
2003,8,2003-08-14,BULL,1,40,I,B,85
2003,8,2003-08-14,BULL,1,40,O,B,75
2003,8,2003-08-14,BULL,3,20,I,B,100
2003,8,2003-08-14,BULL,3,20,O,B,95
2003,8,2003-08-14,BULL,3,40,I,B,90
2003,8,2003-08-14,BULL,3,40,O,B,90
2003,8,2003-08-14,BULL,6,20,I,B,100
2003,8,2003-08-14,BULL,6,20,O,B,100
2003,8,2003-08-14,BULL,6,40,I,B,80
2003,8,2003-08-14,BULL,6,40,O,B,75
2003,8,2003-08-21,CARP,4,20,I,B,100
2003,8,2003-08-21,CARP,4,20,O,B,95
2003,8,2003-08-21,CARP,4,40,I,B,95
2003,8,2003-08-21,CARP,4,40,O,B,55
2003,8,2003-08-21,CARP,5,20,I,B,85
2003,8,2003-08-21,CARP,5,20,O,B,80
2003,8,2003-08-21,CARP,5,40,I,B,80
2003,8,2003-08-21,CARP,5,40,O,B,85
2003,8,2003-08-21,CARP,7,20,I,B,100
2003,8,2003-08-21,CARP,7,20,O,B,90
2003,8,2003-08-21,CARP,7,40,I,B,85
2003,8,2003-08-21,CARP,7,40,O,B,75
2003,8,2003-08-21,CARP,8,20,I,B,85
2003,8,2003-08-21,CARP,8,20,O,B,75
2003,8,2003-08-21,CARP,8,40,I,B,80
2003,8,2003-08-21,CARP,8,40,O,B,75
2003,8,2003-08-22,CARP,1,20,I,B,100
2003,8,2003-08-22,CARP,1,20,O,B,100
2003,8,2003-08-22,CARP,1,40,I,B,100
2003,8,2003-08-22,CARP,1,40,O,B,100
2003,8,2003-08-22,CARP,2,20,I,B,95
2003,8,2003-08-22,CARP,2,20,O,B,95
2003,8,2003-08-22,CARP,2,40,I,B,85
2003,8,2003-08-22,CARP,2,40,O,B,95
2003,8,2003-08-22,CARP,3,20,I,B,80
2003,8,2003-08-22,CARP,3,20,O,B,90
2003,8,2003-08-22,CARP,3,40,I,B,90
2003,8,2003-08-22,CARP,3,40,O,B,95
2003,8,2003-08-22,CARP,6,20,I,B,100
2003,8,2003-08-22,CARP,6,20,O,B,45
2003,8,2003-08-22,CARP,6,40,I,B,70
2003,8,2003-08-22,CARP,6,40,O,B,70
2003,8,2003-08-25,AQUE,1,20,I,B,100
2003,8,2003-08-25,AQUE,1,20,O,B,100
2003,8,2003-08-25,AQUE,1,40,I,B,90
2003,8,2003-08-25,AQUE,1,40,O,B,90
2003,8,2003-08-25,AQUE,2,20,I,B,75
2003,8,2003-08-25,AQUE,2,20,O,B,75
2003,8,2003-08-25,AQUE,2,40,I,B,50
2003,8,2003-08-25,AQUE,2,40,O,B,80
2003,8,2003-08-25,AQUE,3,20,I,B,35
2003,8,2003-08-25,AQUE,3,20,O,B,20
2003,8,2003-08-25,AQUE,3,40,I,B,5
2003,8,2003-08-25,AQUE,3,40,O,B,0
2003,8,2003-08-25,AQUE,4,20,I,B,55
2003,8,2003-08-25,AQUE,4,20,O,B,40
2003,8,2003-08-25,AQUE,4,40,I,B,55
2003,8,2003-08-25,AQUE,4,40,O,B,65
2003,8,2003-08-25,AQUE,5,20,I,B,75
2003,8,2003-08-25,AQUE,5,20,O,B,70
2003,8,2003-08-25,AQUE,5,40,I,B,50
2003,8,2003-08-25,AQUE,5,40,O,B,45
2003,8,2003-08-25,AQUE,6,20,I,B,40
2003,8,2003-08-25,AQUE,6,20,O,B,75
2003,8,2003-08-25,AQUE,6,40,I,B,60
2003,8,2003-08-25,AQUE,6,40,O,B,35
2003,8,2003-08-26,GOLB,1,20,I,B,35
2003,8,2003-08-26,GOLB,1,20,O,B,40
2003,8,2003-08-26,GOLB,1,40,I,B,80
2003,8,2003-08-26,GOLB,1,40,O,B,70
2003,8,2003-08-26,GOLB,2,20,I,B,15
2003,8,2003-08-26,GOLB,2,20,O,B,15
2003,8,2003-08-26,GOLB,2,40,I,B,40
2003,8,2003-08-26,GOLB,2,40,O,B,55
2003,8,2003-08-26,IVEE,1,20,I,B,5
2003,8,2003-08-26,IVEE,1,20,O,B,15
2003,8,2003-08-26,IVEE,1,40,I,B,35
2003,8,2003-08-26,IVEE,1,40,O,B,20
2003,8,2003-08-26,IVEE,2,20,I,B,30
2003,8,2003-08-26,IVEE,2,20,O,B,40
2003,8,2003-08-26,IVEE,2,40,I,B,15
2003,8,2003-08-26,IVEE,2,40,O,B,25
2003,8,2003-08-27,ABUR,1,20,I,B,0
2003,8,2003-08-27,ABUR,1,20,O,B,0
2003,8,2003-08-27,ABUR,1,40,I,B,0
2003,8,2003-08-27,ABUR,1,40,O,B,0
2003,8,2003-08-27,ABUR,2,20,I,B,0
2003,8,2003-08-27,ABUR,2,20,O,B,0
2003,8,2003-08-27,ABUR,2,40,I,B,0
2003,8,2003-08-27,ABUR,2,40,O,B,0
2003,8,2003-08-27,MOHK,1,20,I,B,100
2003,8,2003-08-27,MOHK,1,20,O,B,95
2003,8,2003-08-27,MOHK,1,40,I,B,100
2003,8,2003-08-27,MOHK,1,40,O,B,85
2003,8,2003-08-27,MOHK,2,20,I,B,95
2003,8,2003-08-27,MOHK,2,20,O,B,100
2003,8,2003-08-27,MOHK,2,40,I,B,95
2003,8,2003-08-27,MOHK,2,40,O,B,100
2004,7,2004-07-19,NAPL,1,20,I,B,100
2004,7,2004-07-19,NAPL,1,20,O,B,100
2004,7,2004-07-19,NAPL,1,40,I,B,100
2004,7,2004-07-19,NAPL,1,40,O,B,95
2004,7,2004-07-19,NAPL,2,20,I,B,100
2004,7,2004-07-19,NAPL,2,20,O,B,100
2004,7,2004-07-19,NAPL,2,40,I,B,100
2004,7,2004-07-19,NAPL,2,40,O,B,100
2004,7,2004-07-19,NAPL,3,20,I,B,100
2004,7,2004-07-19,NAPL,3,20,O,B,100
2004,7,2004-07-19,NAPL,3,40,I,B,95
2004,7,2004-07-19,NAPL,3,40,O,B,100
2004,7,2004-07-19,NAPL,4,20,I,B,0
2004,7,2004-07-19,NAPL,4,20,O,B,5
2004,7,2004-07-19,NAPL,4,40,I,B,5
2004,7,2004-07-19,NAPL,4,40,O,B,15
2004,7,2004-07-20,NAPL,5,20,I,B,85
2004,7,2004-07-20,NAPL,5,20,O,B,75
2004,7,2004-07-20,NAPL,5,40,I,B,85
2004,7,2004-07-20,NAPL,5,40,O,B,75
2004,7,2004-07-20,NAPL,6,20,I,B,95
2004,7,2004-07-20,NAPL,6,20,O,B,100
2004,7,2004-07-20,NAPL,6,40,I,B,75
2004,7,2004-07-20,NAPL,6,40,O,B,95
2004,7,2004-07-20,NAPL,7,20,I,B,95
2004,7,2004-07-20,NAPL,7,20,O,B,95
2004,7,2004-07-20,NAPL,7,40,I,B,100
2004,7,2004-07-20,NAPL,7,40,O,B,100
2004,7,2004-07-20,NAPL,8,20,I,B,100
