SP_CODE,independent_variable,a,b,slope,smearing_estimate,DM_WM,SFDM_WM,AFDM_WM,Taxon_Genus,Taxon_species,TAXON_PHYLUM
SFL,test diameter,0.000588783,2.917071365,,1.02,32.6,9.5,8.2,Strongylocentrotus,franciscanus,Echinodermata
SPL,test diameter,0.000592598,2.872636198,,1.01,34.7,16.2,14.2,Strongylocentrotus,purpuratus,Echinodermata
ST,percent cover,,2.30736373,2.307364,,41,6.7,0.6,Salmacina,tribranchiata,Annelida
STMO,siphon diameter,0.028984643,2.210999405,,1.09,13.7,13.7,9.5,Styela,montereyensis,Urochordata
TC,percent cover,,0.59386457,0.593865,,32.9,3.8,2.3,Thalamoporella,californica,Bryozoa
TEAU,diameter,0.003088035,2.471296857,,1.02,24.4,24.4,12.3,Tethya,californiana,Porifera
TESP,shell length,0.003585272,2.365438634,,1.12,77,21.9,19.2,Tegula,brunnea,Mollusca
UIH,percent cover,,0.029900596,0.029901,,24.6,24.6,19.3,Hydractinia,milleri,Cnidaria
UNAN,percent cover,,0.349237903,0.349238,,12.8,12.8,9.7,Epiactus,prolifera,Cnidaria
URLO,disc diameter,0.390730643,1.039699562,,1.04,18.9,18.9,16,Urticina,lofotensis,Cnidaria
UT,percent cover,,0.92155641,0.921556,,27.1,27.1,4.4,Cystodytes,lobatus,Urochordata
