model,MONTH,Independent_variable,Dependent_variable,slope,intercept,pvalue,rsquare,N
8,4,Frond density in April,Subsurface FSC dry in April,0.02123,0,<.0001,0.94,46
8,5,Frond density in May,Subsurface FSC dry in May,0.02031,0,<.0001,0.96,48
8,6,Frond density in June,Subsurface FSC dry in June,0.02067,0,<.0001,0.97,48
8,7,Frond density in July,Subsurface FSC dry in July,0.02129,0,<.0001,0.98,48
8,8,Frond density in August,Subsurface FSC dry in August,0.02348,0,<.0001,0.96,48
8,9,Frond density in September,Subsurface FSC dry in September,0.02549,0,<.0001,0.95,48
8,10,Frond density in October,Subsurface FSC dry in October,0.02866,0,<.0001,0.95,45
8,11,Frond density in November,Subsurface FSC dry in November,0.03006,0,<.0001,0.95,48
8,12,Frond density in December,Subsurface FSC dry in December,0.02785,0,<.0001,0.97,48
9,1,Dry weight (kg m-2) in January,Seasonal NPP carbon in January,0.00878,0.00039,<.0001,0.84,40
9,2,Dry weight (kg m-2) in February,Seasonal NPP carbon in February,0.0088,0.00048,<.0001,0.84,44
9,3,Dry weight (kg m-2) in March,Seasonal NPP carbon in March,0.00802,0.00081,<.0001,0.80,44
9,4,Dry weight (kg m-2) in April,Seasonal NPP carbon in April,0.01092,0.00023,<.0001,0.90,41
9,5,Dry weight (kg m-2) in May,Seasonal NPP carbon in May,0.00934,0.00016,<.0001,0.94,41
9,6,Dry weight (kg m-2) in June,Seasonal NPP carbon in June,0.00892,-0.00007,<.0001,0.96,41
9,7,Dry weight (kg m-2) in July,Seasonal NPP carbon in July,0.00823,0.00043,<.0001,0.87,47
9,8,Dry weight (kg m-2) in August,Seasonal NPP carbon in August,0.00742,0.00034,<.0001,0.94,47
9,9,Dry weight (kg m-2) in September,Seasonal NPP carbon in September,0.00797,0.00021,<.0001,0.95,47
9,10,Dry weight (kg m-2) in October,Seasonal NPP carbon in October,0.00477,0.00104,<.0001,0.51,44
9,11,Dry weight (kg m-2) in November,Seasonal NPP carbon in November,0.00892,0.0002,<.0001,0.80,47
9,12,Dry weight (kg m-2) in December,Seasonal NPP carbon in December,0.00801,0.00033,<.0001,0.84,47
