SP_CODE,GENUS,SPECIES,CHN_spp,AFD_spp,Dry_wet,afd_Dry,SE_Drywet,SE_afd_Dry,Drywet_N,afd_Dry_N,Carbon,SE_Carbon,Nitrogen,SE_Nitrogen,CN,SE_CN,CN_N
MPJ66,Macrocystis,pyrifera,MAPY,MAPY,0.13,0.27,0.002,0.23,172,12,28.35,0.44,2.13,0.04,13.4,0.2,941
MPJ99,Macrocystis,pyrifera,MAPY,MAPY,0.13,0.27,0.002,0.23,172,12,28.35,0.44,2.13,0.04,13.4,0.2,941
NA,Nienburgia,andersoniana,CF,CF,0.11,0.39,0.005,0.005,36,12,22.03,0.41,2.96,0.07,7.5,0.3,10
NEO,Neoagardhiella,baileyi,GS,GS,0.09,0.43,0.007,0.021,20,12,16.86,1.69,2.14,0.1,7.7,0.4,10
PHSE,Phycodrys,setchellii,CF,CF,0.11,0.39,0.005,0.005,36,12,22.03,0.41,2.96,0.07,7.5,0.3,10
PHTO,Phyllospadix,torreyi,DL,DL,0.09,0.4,0.006,0.032,7,12,20.25,1.34,2.02,0.12,10.5,1.1,10
PL,Prionitis,lanceolata,GYSP,R,0.2,0.47,0.02,0.037,3,0,29.97,1.53,2.91,0.15,10.3,0,2
POLA,Polyneura,latissima,POLA,POLA,0.13,0.25,0.006,0.012,9,12,23.56,0.51,3.84,0.11,6.1,0.1,10
PRSP,Prionitis,spp.,GYSP,R,0.2,0.47,0.02,0.037,3,0,29.97,1.53,2.91,0.15,10.3,0,2
PTCA,Pterygophora,californica,PTCA,PTCA,0.13,0.32,0.002,0.051,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
PTJ,Pterygophora,californica,PTCA,PTCA,0.13,0.32,0.002,0.051,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
PTL,Pterygophora,californica,PTCA,PTCA,0.13,0.32,0.002,0.051,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
R,Rhodymenia,californica,R,R,0.16,0.47,0.005,0.037,112,12,25.96,0.36,3.34,0.04,7.8,0.1,36
RAT,Red algal turf,spp.,RAT,RAT,0.19,0.39,0.05,0.005,0,0,24.18,1.26,2.91,0.14,8.5,0.68,10
SAFU,Sarcodiotheca,furcata,CF,CF,0.11,0.39,0.005,0.005,36,12,22.03,0.41,2.96,0.07,7.5,0.3,10
SAHO,Sargassum,hornerii,CYOS,CYOS,0.14,0.35,0.002,0.02,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
SAMU,Sargassum,muticum,CYOS,CYOS,0.14,0.35,0.002,0.02,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
SCCA,Scinaia,confusa,GS,GS,0.09,0.43,0.007,0.021,20,12,16.86,1.69,2.14,0.1,7.7,0.4,10
SELO,Scytosiphon,lomentaria,DL,DL,0.09,0.4,0.006,0.032,7,12,20.25,1.34,2.02,0.12,10.5,1.1,10
SHJ,Sargassum,hornerii,CYOS,CYOS,0.14,0.35,0.002,0.02,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
SMJ,Sargassum,muticum,CYOS,CYOS,0.14,0.35,0.002,0.02,172,12,28.35,0.44,2.13,0.04,13.4,0.2,30
STIN,Stenogramme,interrupta,R,R,0.16,0.47,0.005,0.037,112,12,25.96,0.36,3.34,0.04,7.8,0.1,36
TALE,Taonia,lennebackerae,DL,DL,0.09,0.4,0.006,0.032,7,12,20.25,1.34,2.02,0.12,10.5,1.1,10
UBB,Unidentified brown blade,spp.,CYOS,CYOS,0.15,0.35,0.002,0.017,115,24,29.77,0.44,1.53,0.04,19.9,0.7,30
UEC,Unidentified erect coralline,spp.,CO,RAT,0.22,0.38,0.012,0.03,0,0,34.71,2.49,3.96,0.18,8.8,0.6,10
UV,Ulva,spp.,DL,DL,0.09,0.4,0.006,0.032,7,12,20.25,1.34,2.02,0.12,10.5,1.1,10
ZOMA,Zostera,marina,DL,DL,0.09,0.4,0.006,0.032,7,12,20.25,1.34,2.02,0.12,10.5,1.1,10
SAGA,Sarcodiotheca gaudichaudii,spp.,GS,GS,0.09,0.43,0.007,0.021,20,12,16.86,1.69,2.14,0.1,7.7,0.4,10
