"year","month","site","transect","sp_code","percent_cover","density","dry_gm2","scientific_name","common_name","group","mobility","growth_morph","coarse_grouping","id","patch"
2018,7,"NAPL",1,"CHOV",NA,1,97.568560684211,"Chaceia ovoidea","Wart-Neck Piddock","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"CHPR",0,NA,0,"Chelyosoma productum","Disc-Top Turnicate","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"CILU",0,NA,0,"Timarete luxuriosa",NA,"INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"CL",0,NA,0,"Clavelina","Light Bulb Tunicate","INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"CLIN",NA,0,0,"Gibbonsia","Crevice Kelpfish","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"CNIC",NA,0,0,"Rhinogobiops nicholsii","Blackeye Goby","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"CO",1.25,NA,2.6625,"Corallina officinalis","Pink Feather Coralline","ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"COCA",NA,7,6.31178404495697,"Californiconus californicus","Califonia Cone Snail","INVERT","MOBILE","AGGREGATED","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"COF",0,NA,0,"Codium fragile","Dead Man's Fingers","ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"COST",0,NA,0,"Celleporina robertsoniae","Orange Byozoan","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"COTT",NA,0,0,"Cottidae","Unidentified Sculpin Spp","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"CP",0,NA,0,"Colpomenia",NA,"ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"CPUN",NA,0.0625,0.21675,"Chromis punctipinnis","Blacksmith","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"CRGI",NA,0.225,34.8042039705325,"Crassadoma gigantea","Rock Scallop","INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"CROC",2.5,NA,0.4884539625,"Crisia occidentalis","White Tuft Bryozoans","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"CRYP",0,NA,0,"Cryptopleura",NA,"ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"CSTI",NA,0,0,"Citharichthys stigmaeus","Speckled Sanddab","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"CUKE",NA,0,0,"Apostichopus californicus","California Sea Cucumber","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"CUPI",0,NA,0,"Cucumaria piperata","Salt and Pepper Cucumber","INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"CUSP",NA,1.33333333333333,3.30233934279812,"Cucumaria",NA,"INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"CVEN",NA,0,0,"Cephaloscyllium ventriosum","Swell Shark","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"CY",0,NA,0,"Corynactis californica","Club-Tipped Anemone","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"CYOS",NA,NA,67.8654166666667,"Stephanocystis osmundacea",NA,"ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"CYSP",NA,0.166666666666667,1.86230048557058,"Neobernaya spadicea","Chestnut Cowry","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"CZ",0,NA,0,"Chondracanthus spinosus",NA,"ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"DC",16.25,NA,5.138765775,"Diaperoforma californica","Southern Staghorn Bryozoan","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"DIL",NA,0,0,"Dermasterias imbricata","Leather Star","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"DIOR",NA,0,0,"Diopatra ornata","Ornate Tube Worm","INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"DL",0,NA,0,"Desmarestia ligulata","Acid Weed","ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"DOFE",0,NA,0,"Dodecaceria fewkesi","Colonial Tube Worm","INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"DP",0,NA,0,"Dictyota",NA,"ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"DU",0,NA,0,"Dictyopteris undulata",NA,"ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"DVAC",NA,0,0,"Rhacochilus vacca","Pile Surfperch","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"EA",NA,0,0,"Eisenia arborea","Southern Palm Kelp","ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"EC",8.75,NA,2.8875,"Corallinales","Encrusting Coralline","ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"ECB",7.5,NA,0.6174262125,"Bryozoa","Encrusting Bryozoan","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"EGME",NA,0,0,"Egregia menziesii","Feather Boa Kelp","ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"EJAC",NA,0.0125,0.2499,"Embiotoca jacksoni","Black Surfperch","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"ELAT",NA,0,0,"Embiotoca lateralis","Striped Surfperch","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"EMBI",NA,0,0,"Embiotoca","Unidentified Surfperch Spp.","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"ER",1.25,NA,0.4125,"Rhodophyta","Encrusting red algae","ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"ES",0,NA,0,"Demospongiae","Encrusting sponge","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"EUCL",0,NA,0,"Euherdmania claviformis","Tunic-Band Compound Turnicate","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"EUPO",NA,1,3.21482718156654,"Eudistylia polymorpha","Feather Duster Worm","INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"EUQU",NA,1.83333333333333,0.536759448606425,"Eupentacta quinquesemita","White Sea Cucumber","INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"FASP",0,NA,0,"Gloiocladia",NA,"ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"FB",0,NA,0,"Ectocarpaceae","Filamentous brown & Diatom Mats","ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"FG",0,NA,0,"Chlorophyta","Filamentous green","ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"FR",0,NA,0,"Rhodophyta","filamentous red","ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"FTHR",0,NA,0,"Ceramiales","Ceramiales Complex: Neoptilota Ptilota Rhodoptilum Pterosiphonia","ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"GAGA",NA,0,0,"Galeorhinus galeus","Soupfin Shark","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"GNIG",NA,0.0375,4.1922,"Girella nigricans","Opaleye","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"GR",1.25,NA,2.8125,"Gelidium","Agarweed","ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"GS",0,NA,0,"Gracilaria",NA,"ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"GYMO",NA,0,0,"Gymnothorax mordax","California Moray","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"GYSP",0,NA,0,"Gymnogongrus",NA,"ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"HACO",NA,0,0,"Haliotis corrugata","Pink Abalone","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"HAGL",0,NA,0,"Halosaccion glandiforme","Sea Nipples","ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"HARG",NA,0,0,"Hyperprosopon argenteum","Walleye Surfperch","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"HARU",NA,0,0,"Haliotis rufescens","Red Abalone","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"HC",0,NA,0,"Acanthancora cyanocrypta","Cobalt Sponge","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"HCAR",NA,0,0,"Hypsurus caryi","Rainbow Surfperch","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"HDEC",NA,0,0,"Hexagrammos decagrammus","Kelp Greenling","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"HEFR",NA,0,0,"Heterodontus francisci","Horn Shark","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"HIP",0,NA,0,"Primavelans mexicana","Southern Fluted Bryozoan","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"HPAC",0,NA,0,"Heteropora pacifica","Northern Staghorn Bryozoan","INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"HROS",NA,0,0,"Heterostichus rostratus","Giant Kelpfish","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"HRUB",NA,0,0,"Hypsypops rubicundus","Garibaldi","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"HSEM",NA,0,0,"Halichoeres semicinctus ","Rock Wrasse","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"IR",0,NA,0,"Iridaea",NA,"ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"KEKE",NA,0.275,9.78037256593517,"Kelletia kelletii","Kellet's Welk","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"LA",NA,0,0,"Lytechinus pictus","White Sea Urchin","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"LAFA",NA,1.075,2.42,"Laminaria farlowii","Oar Weed","ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"LDAL",NA,0,0,"Lythrypnus dalli","Bluebanded Goby","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"LHIR",NA,0,0,"Leiocottus hirundo","Lavender Sculpin","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"LI",0,NA,0,"Lithothrix","Stone Hair","ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"LIGL",NA,2.35416666666667,116.710816038686,"Lithopoma","Wavey Turbin Snail","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"LINU",0,NA,0,"Lissothuria nutriens","Scarlet Sea Cucumber","INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"LNUT",0,NA,0,"Leucilla nuttingi","Urn Sponge","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"LOCH",NA,0,0,"Leptogorgia chilensis","Red Gorgonian","INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"LOGR",NA,0,0,"Loxorhynchus grandis","Sheep Crab","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"LS",0,NA,0,"Laurencia",NA,"ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"LX",0,NA,0,"Osmundea spectabilis",NA,"ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"MAPY",NA,10.1375,876.691,"Macrocystis pyrifera","Giant Kelp","ALGAE","SESSILE","SOLITARY","GIANT KELP","NAPL1","181"
2018,7,"NAPL",1,"MC",0,NA,0,"Mytilus californianus","California Mussel","INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"MCAL",NA,0,0,"Medialuna californiensis","Halfmoon","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"MECR",NA,0.175,9.85403074453139,"Megathura crenulata","Giant Key Hole Limpet","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"MIID",NA,0,0,"Mitra idae","Ida's Mitre","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"MISE",0,NA,0,"Metridium dianthus","Clonal Plumose Anemone","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"MT",0,NA,0,"Jellyella tuberculata","Encrusting Bryozoan","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"MUCA",NA,0.0125,0.0313456693544795,"Muricea californica","California Golden Gorgonian","INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"MUFR",NA,0,0,"Muricea fruticosa","Brown Gorgonian","INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,NA,0,NA,0,"Nienburgia andersoniana",NA,"ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"NBLA",NA,0,0,"Neoclinus blanchardi ","Sarcastic Fringehead","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"NEO",0,NA,0,"Agardhiella subulata",NA,"ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"NONO",NA,0,0,"Norrisia norrisii","Norris's Topsnail","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"OBSP",0,NA,0,"Obelia","Wine-Glass Hydroid","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"OCAL",NA,0.325,2.9172,"Oxyjulis californica","Senorita","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"OCTO",NA,0,0,"Octopus",NA,"INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"OELO",NA,0,0,"Ophiodon elongatus","Lingcod","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"OKL",NA,0,0,"Orthasterias koehleri","Rainbow Star","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"OPES",NA,3.66666666666667,6.07655350944754,"Ophioplocus esmarki","Smooth Brittle Star","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"OPIC",NA,0.0375,0.0306,"Oxylebius pictus","Painted Greenling","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"OPSP",NA,0,0,"Ophiothrix spiculata","Spiny Brittle Star","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"PA",0,NA,0,"Phragmatopoma californica","Colonial Sand Tube Worm","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"PACA",NA,0,0,"Parapholas californica","Scaleside Piddock","INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"PAFI",NA,0,0,"Pachycerianthus fimbriatus","Tube Dwelling Anemone","INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"PAIN",NA,0,0,"Panulirus interruptus","California Spiny Lobster","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"PAPA",NA,0.0125,0.329379480499364,"Apostichopus parvimensis","Warty Sea Cucumber","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"PAST",NA,0,0,"Paracyathus stearnsi","Brown Cup Coral","INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"PBL",NA,0,0,"Pisaster brevispinus","Short Spined Sea Star","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"PCAL",NA,0,0,"Paralichthys californicus","California Halibut","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"PCLA",NA,0.1125,5.2683,"Paralabrax clathratus","Kelp Bass","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"PFUR",NA,0,0,"Phanerodon furcatus","White Surfperch","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"PGL",NA,0,0,"Pisaster giganteus","Giant Spined Sea Star","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"PHL",NA,0,0,"Pycnopodia helianthoides","Sunflower Sea Star","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"PHOR",0,NA,0,"Phoronida","Phoronid","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"PHSE",0,NA,0,"Phycodrys setchellii",NA,"ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"PHSP",0,NA,0,"Phyllactis","Sand Anemone","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"PHTO",0,NA,0,"Phyllospadix torreyi","Surfgrass","ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"PIEL",0,NA,0,"Pista elongata",NA,"INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"PL",0,NA,0,"Prionitis lanceolata",NA,"ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"PLAB",0,NA,0,"Phidolopora labiata","Lattice-Work Bryozoan","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"PLUM",0,NA,0,"Plumularia","Hydroid","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"PNEB",NA,0,0,"Paralabrax nebulifer","Barred Sandbass","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"POL",NA,0,0,"Pisaster ochraceus","Ochre sea star","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"POLA",0,NA,0,"Polyneura latissima",NA,"ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"PONO",NA,0,0,"Porichthys notatus","Plainfin Midshipman","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
