YEAR,MONTH,DATE,SITE,TRANSECT,SECTION,SIDE,SP_CODE,SIZE,COUNT,OBS_CODE,NOTES,ENTERED_BY,CHECKED_BY
2018,9,9/11/2018,GOLB,3,0-20,OFF,NF,0,0,144,,CC,LM/IG
2018,9,9/11/2018,GOLB,3,21-40,IN,NF,0,0,144,,CC,LM/IG
2018,9,9/11/2018,GOLB,3,0-20,IN,NF,0,0,144,,CC,LM/IG
2018,9,9/12/2018,IVEE,9,0-20,OFF,NF,0,0,1930,,IG,LM/IG
2018,9,9/12/2018,IVEE,9,21-40,OFF,CLIN,4,1,1930,,IG,LM/IG
2018,9,9/12/2018,IVEE,9,21-40,IN,CLIN,3,1,1930,,IG,LM/IG
2018,9,9/12/2018,IVEE,9,0-20,IN,NF,0,0,1930,,IG,LM/IG
2018,9,9/12/2018,IVEE,10,0-20,OFF,NF,0,0,1930,,IG,LM/IG
2018,9,9/12/2018,IVEE,10,21-40,OFF,NF,0,0,1930,,IG,LM/IG
2018,9,9/12/2018,IVEE,10,21-40,IN,NF,0,0,1930,,IG,LM/IG
2018,9,9/12/2018,IVEE,10,0-20,IN,NF,0,0,1930,,IG,LM/IG
2018,9,9/12/2018,IVEE,11,0-20,OFF,NF,0,0,1930,,IG,LM/IG
2018,9,9/12/2018,IVEE,11,21-40,OFF,CLIN,4,1,1930,,IG,LM/IG
2018,9,9/12/2018,IVEE,11,21-40,IN,COTT,4,1,1930,,IG,LM/IG
2018,9,9/12/2018,IVEE,11,0-20,IN,LHIR,5,1,1930,,IG,LM/IG
2018,9,9/13/2018,OAKS,1,0-20,OFF,OPIC,10,1,1930,,IG,LM/IG
2018,9,9/13/2018,OAKS,1,0-20,OFF,COTT,12,1,1930,,IG,LM/IG
2018,9,9/13/2018,OAKS,1,21-40,OFF,NF,0,0,1930,,IG,LM/IG
2018,9,9/13/2018,OAKS,1,21-40,IN,NF,0,0,1930,,IG,LM/IG
2018,9,9/13/2018,OAKS,1,0-20,IN,NF,0,0,1930,,IG,LM/IG
2018,9,9/13/2018,OAKS,2,0-20,OFF,LHIR,27,1,1930,,IG,LM/IG
2018,9,9/13/2018,OAKS,2,21-40,OFF,LHIR,25,1,1930,,IG,LM/IG
2018,9,9/13/2018,OAKS,2,21-40,OFF,LHIR,30,1,1930,,IG,LM/IG
2018,9,9/13/2018,OAKS,2,21-40,IN,NF,0,0,1930,,IG,LM/IG
2018,9,9/13/2018,OAKS,2,0-20,IN,COTT,18,1,1930,,IG,LM/IG
2018,9,9/13/2018,OAKS,3,0-20,OFF,NF,0,0,1930,,IG,LM/IG
2018,9,9/13/2018,OAKS,3,21-40,OFF,NF,0,0,1930,,IG,LM/IG
2018,9,9/13/2018,OAKS,3,21-40,IN,NF,0,0,1930,,IG,LM/IG
2018,9,9/13/2018,OAKS,3,0-20,IN,NF,0,0,1930,,IG,LM/IG
2018,9,9/14/2018,LEAD,1,21-40,IN,NF,0,0,1930,,LJ,TW/IG
2018,9,9/14/2018,LEAD,1,21-40,OFF,NF,0,0,1930,,LJ,TW/IG
2018,9,9/14/2018,LEAD,1,0-20,IN,NF,0,0,1930,,LJ,TW/IG
2018,9,9/14/2018,LEAD,1,0-20,OFF,NF,0,0,1930,,LJ,TW/IG
2018,9,9/14/2018,LEAD,2,0-20,OFF,CLIN,10,1,1930,,LJ,TW/IG
2018,9,9/14/2018,LEAD,2,0-20,OFF,CLIN,7,1,1930,,LJ,TW/IG
2018,9,9/14/2018,LEAD,2,21-40,OFF,NF,0,0,1930,,LJ,TW/IG
2018,9,9/14/2018,LEAD,2,21-40,IN,NF,0,0,1930,,LJ,TW/IG
2018,9,9/14/2018,LEAD,2,0-20,IN,NF,0,0,1930,,LJ,TW/IG
2018,9,9/14/2018,LEAD,3,0-20,OFF,NF,0,0,1930,,LJ,TW/IG
2018,9,9/14/2018,LEAD,3,0-20,IN,NF,0,0,1930,,LJ,TW/IG
2018,9,9/14/2018,LEAD,3,21-40,OFF,NF,0,0,1930,,LJ,TW/IG
2018,9,9/14/2018,LEAD,3,21-40,IN,NF,0,0,1930,,LJ,TW/IG
2018,9,9/13/2018,MESA,3,0-20,OFF,OPIC,6,1,1930,,LJ,TW/IG
2018,9,9/13/2018,MESA,3,0-20,IN,NF,0,0,1930,,LJ,TW/IG
2018,9,9/13/2018,MESA,3,21-40,OFF,NF,0,0,1930,,LJ,TW/IG
2018,9,9/13/2018,MESA,3,21-40,IN,NF,0,0,1930,,LJ,TW/IG
2018,9,9/24/2018,WOOD,1,0-20,IN,NF,0,0,1930,,LJ,TW/IG
2018,9,9/24/2018,WOOD,1,21-40,IN,NF,0,0,1930,,LJ,TW/IG
2018,9,9/24/2018,WOOD,1,0-20,OFF,NF,0,0,1930,,LJ,TW/IG
2018,9,9/24/2018,WOOD,1,21-40,OFF,NF,0,0,1930,,LJ,TW/IG
2018,9,9/24/2018,WOOD,2,0-20,IN,NF,0,0,1930,,LJ,TW/IG
2018,9,9/24/2018,WOOD,2,21-40,IN,NF,0,0,1930,,LJ,TW/IG
2018,9,9/24/2018,WOOD,2,0-20,OFF,NF,0,0,1930,,LJ,TW/IG
2018,9,9/24/2018,WOOD,2,21-40,OFF,NF,0,0,1930,,LJ,TW/IG
2018,9,9/24/2018,WOOD,3,21-40,IN,OPIC,12,1,1930,,LJ,TW/IG
2018,9,9/24/2018,WOOD,3,0-20,IN,OPIC,10,1,1930,,LJ,TW/IG
2018,9,9/24/2018,WOOD,3,0-20,OFF,OPIC,8,1,1930,,LJ,TW/IG
2018,9,9/24/2018,WOOD,3,21-40,OFF,NF,0,0,1930,,LJ,TW/IG
2018,9,9/25/2018,INNP,1,21-40,IN,CNIC,7,1,1930,,LJ,TW/IG
2018,9,9/25/2018,INNP,1,21-40,OFF,NF,0,0,1930,,LJ,TW/IG
2018,9,9/25/2018,INNP,1,0-20,IN,NF,0,0,1930,,LJ,TW/IG
2018,9,9/25/2018,INNP,1,0-20,OFF,NF,0,0,1930,,LJ,TW/IG
2018,9,9/25/2018,INNP,2,21-40,IN,COTT,6,1,1930,,LJ,TW/IG
2018,9,9/25/2018,INNP,2,21-40,OFF,NF,0,0,1930,,LJ,TW/IG
2018,9,9/25/2018,INNP,2,0-20,IN,NF,0,0,1930,,LJ,TW/IG
2018,9,9/25/2018,INNP,2,0-20,OFF,NF,0,0,1930,,LJ,TW/IG
2018,9,9/25/2018,INNP,3,21-40,OFF,CLIN,6,1,1930,,LJ,TW/IG
2018,9,9/25/2018,INNP,3,21-40,IN,NF,0,0,1930,,LJ,TW/IG
2018,9,9/25/2018,INNP,3,0-20,IN,NF,0,0,1930,,LJ,TW/IG
2018,9,9/25/2018,INNP,3,0-20,OFF,NF,0,0,1930,,LJ,TW/IG
2018,10,10/23/2018,TANK,2,0-20,IN,OPIC,12,3,1830,,CC,RZ
2018,10,10/23/2018,TANK,2,0-20,OFF,NF,0,0,1830,,SS,SS
2018,10,10/23/2018,TANK,2,21-40,IN,NF,0,0,1830,,SS,SS
2018,10,10/23/2018,TANK,2,21-40,OFF,NF,0,0,1830,,SS,SS
2018,10,10/23/2018,TANK,1,21-40,IN,OPIC,10,2,1830,,CC,RZ
2018,10,10/23/2018,TANK,1,21-40,OFF,NF,0,0,1830,,SS,SS
2018,10,10/23/2018,TANK,1,0-20,OFF,OPIC,14,1,1830,,CC,RZ
2018,10,10/23/2018,TANK,1,0-20,IN,NF,0,0,1830,,SS,SS
2018,10,10/24/2018,TANK,3,0-20,IN,NF,0,0,1830,,BD,BD
2018,10,10/24/2018,TANK,3,21-40,IN,NF,0,0,1830,,BD,BD
2018,10,10/24/2018,TANK,3,0-20,OFF,NF,0,0,1830,,BD,BD
2018,10,10/24/2018,TANK,3,21-40,OFF,NF,0,0,1830,,BD,BD
2018,10,10/24/2018,REFU,1,0-20,IN,NF,0,0,1830,,BD,BD
2018,10,10/24/2018,REFU,1,21-40,IN,NF,0,0,1830,,BD,BD
2018,10,10/24/2018,REFU,1,0-20,OFF,NF,0,0,1830,,BD,BD
2018,10,10/24/2018,REFU,1,21-40,OFF,NF,0,0,1830,,BD,BD
2018,10,10/24/2018,REFU,2,0-20,IN,NF,0,0,1830,,BD,BD
2018,10,10/24/2018,REFU,2,21-40,IN,NF,0,0,1830,,BD,BD
2018,10,10/24/2018,REFU,2,0-20,OFF,NF,0,0,1830,,BD,BD
2018,10,10/24/2018,REFU,2,21-40,OFF,NF,0,0,1830,,BD,BD
2018,10,10/24/2018,REFU,3,0-20,IN,NF,0,0,1830,,BD,BD
2018,10,10/24/2018,REFU,3,21-40,IN,NF,0,0,1830,,BD,BD
2018,10,10/24/2018,REFU,3,0-20,OFF,NF,0,0,1830,,BD,BD
2018,10,10/24/2018,REFU,3,21-40,OFF,NF,0,0,1830,,BD,BD
